"","rev.date","rev.sum","rev.rating","rev.title","rev.pros","rev.cons"
"11","Dec 16, 2013","The best mix of everything - an amazing place to work","5.0","Current Employee - Direct Sales in Melbourne","Culture, work-life balance, leadership, opportunities for growth, you can actually influence and make a different, amazing work environment, we live and breath the cloud, free coffee!","None for me, but if you're not adept to a fast paced workplace or change, Xero isn't the place for you."
"12","Mar 2, 2014","Xero","4.0","Current Employee - Developer in Wellington, Wellington","You get to see your work benefiting SMBs sooner rather than later.","After Xero, what is there in NZ?"
"13","Mar 3, 2014","Fantastic company to work for - never a dull moment!","5.0","Current Employee - Technical in Wellington, Wellington","Great environment, support for innovation, flat company structure, awesome benefits (coffee, table tennis, social events, free shares).","Really fast-paced work environment. If you like stability and routine, this isn't the place for you!"
"14","Mar 3, 2014","The highlight of my career","5.0","Current Employee - Anonymous Employee in Wellington, Wellington","The most inspiring and forward thinking company I have worked with in my career. 

You'll be surrounded by amazing people all willing to help with mission Xero

The global Xero team is like one big family. Everyone walks the talk, are very willing to help and supports a great culture. 

They advocate for a work life balance, have an excellent leadership team and some very grand goals.","None, after 2 years."
"15","Mar 3, 2014","Best place to work","5.0","Current Employee - Anonymous Employee in Auckland, Auckland","Dynamic company.
Fast growing.
Great culture.
Work with 'A' level people
Inspiring leaders
Brilliant product to feel proud of
Be part of the change","Not really any cons, there may be some teething issues in various departments, especially in a company which is growing in every direction. However there isn't really anything I consider a con to working for this company."
"16","Mar 4, 2014","A Great company a head of its game","4.0","Current Employee - Account Manager in Sydney","The company culture at Xero, is fun and continually challenges us to do beautiful work that we can be proud of and take ownership for.","As the company is rapidly growing change and change management play a huge part of your role, you must take on a flexible mindset to perform at your best."
"17","Mar 12, 2014","Great place to enjoy some hard work","5.0","Current Employee - Developer in Auckland, Auckland","We have some very talented people working together here to deliver a world-class beautiful accounting software that is making small business owners' life much easier. I feel so proud being part of this journey with Xero.","Everything has been arranged pretty well and I don't see any problem just yet."
"18","Mar 14, 2014","great product.. leadership needs to evolve","3.0","Former Employee - Anonymous Employee in San Francisco, CA","product is a excellent
growing really fast..","leadership is really more about managing operations and not leading
growing really fast"
"19","Mar 21, 2014","Great product and relaxed atmosphere","5.0","Current Employee - Account Manager in San Francisco, CA","- Beautiful office
- Lots of room for growth since we've only been in the US for 3 years
- Nice people
- Fun New Zeland company culture 
- no dress code
- lots of atonomy","- too quiet sometimes
- not enough brand recognition in the US"
"20","Mar 28, 2014","Fast growing company with quality people","3.0","Current Employee - Technical in Wellington, Wellington","The people on the ground are some of the best I've ever worked with, a mix of veterans and the brightest new entrants to the industry. They don't skimp on the workstations and software.

Most of all, people pull their weight.","Middle management has a tendency to use the company ""values"" to push their management responsibility downwards.

There are very few opportunities to grow or get technical training.

Yearly bonus scheme is very opaque and too broad to influence personally."
"21","Jun 5, 2014","Great company with a forward thinking attitude","4.0","Current Employee - Anonymous Employee in San Francisco, CA","Great culture and some talented leadership. Because it is still growing also means there is a lot of opportunity to make a difference within the company.","Growing can often mean allocating responsibility which is always tough. Because of the transition sometimes process can slow change (though inevitable)."
"22","Jun 27, 2014","Could have been better","2.0","Former Employee - Anonymous Employee ","Nice office, ammenities and the pay is decent and a solid product","very poor communication across mgmt levels, lots of closed door conversations and not enough communication unless you are part of the in crowd."
"23","Jul 20, 2014","Busy, exciting with huge potential","5.0","Current Employee - Developer in Melbourne","Friendly casual-professional environment with a positive 'can do' culture. Product development is pragmatic, agile and open to criticism. Customers and staff are respected and listened to, with great emphasis placed on ensuring a positive experience. With so much growth, theres a lot of opportunities to make a difference. Management is very open.","Rapid growth means growing pains
Little professional development
Wellington HQ slow to adapt to explosion in global staff and the resulting need to be highly collaborative, but this is changing."
"24","Jul 31, 2014","This isn't a job - it's just what I love to do every day!","5.0","Current Employee - Agile Coach in Auckland, Auckland","People, people, people!
Company that lives and breathes its values
Company values that line up perfectly with my personal values
Light touch (almost no) management, autonomy in my role","I can't be in every office around the world!
Realistically, I have yet to find any significant down side"
"25","Aug 5, 2014","Great collaborative teams of  top talent across all departments and US locations.","3.0","Former Employee - Anonymous Employee ","Rapidly growing organization providing outstanding customer service to its clients, and offering an upbeat culture. Focused intent on expanding the Xero brand through a holistic client experience.","With rapid growth, roles change/are adjusted so there is a challenge to maintain close peer bonds within the organization."
"26","Aug 20, 2014","Great, fast-paced environment.  Lots of changes so not for the faint hearted in that respect!","4.0","Current Employee - Anonymous Employee in Milton Keynes, England","Culture, mission - everyone is so bought in to what Xero is trying to achieve.","Hyper-growth environment can be exciting but stressful sometimes.  Exciting for the most part if you get stuck-in!"
"27","Sep 4, 2014","NZ is great but Australia not so much","3.0","Former Employee - Senior Developer in Melbourne","Great dynamic atmosphere and flat organisational structure. Terrific access to senior management who share all aspects of company strategy with staff. Office fit-outs are top notch and IT equipment is up to date.","Growing too fast. Poor HR contact with non-NZ offices. Acquired offices are not managed well with too much autonomy and not enough imposition of (excellent) Xero culture. Compensation is stingy."
"28","Sep 11, 2014","Tiny company up against a big goliath and poised to LOSE","1.0","Former Employee - Anonymous Employee ","The people are awesome and creative and fun and the office culture is great and collaborative.","They don't know how to run a sales and marketing organization or how to compete against their HUGE competitors in the US. They spend money on STUPID stuff when every red cent should be on marketing. They hire way too many leaders and not enough workers. They make promises to get people on board, when they never intended to follow through with them. They tell you that they want to help your career but then if you express..."
"29","Sep 11, 2014","Great Product, Misguided leadership with no direction","1.0","Former Employee - Anonymous Employee ","- nice view of the city, some free snacks and beverages, nice office to work in, smart engineers who know what they're doing, people can make friends here","Where to start...
- company struggles a lot with leadership (no guidance at all) so people work blindly towards goals that are unachievable. This provides management the excuse to out employees. 
- seen the sales team struggle constantly to make their number, with and without integrity and are forced to do this
- the (US) company invests in a lot of unnecessary things that gets them no return
- Management will never..."
"30","Oct 17, 2014","Xero is a breath of fresh air","4.0","Current Employee - Anonymous Employee in San Francisco, CA","Pays very well
Great culture
Snacks, lunches and happy hour
Awesome people to work with","The only thing I can think of is health insurance could be better.   Other than that, I'm a happy camper!"
"31","Oct 19, 2014","Positioning for success in the US market","4.0","Current Employee - Anonymous Employee in Denver, CO","Positive culture and a group of managers that are open, honest and have your best interests at heart. Many opportunities for advancement or transfer if you are willing to hustle for it. Great management program recently implemented.","Typical cons of any young company. Still building out policies and procedures without become overly corporate. Health benefits in the US could be a bit more competitive."
"32","Oct 19, 2014","Best employer I've ever had","5.0","Current Employee - Development Team Lead in Wellington, Wellington","Xero provides great opportunities to learn with exciting and interesting work.  They pay well, and know how to have fun.  They are open and honest and don't hide things from anyone.  They have strong company values that have real meaning and influence everything we do.  Awesome is a rather overused word these days but it truly applies to my co-workers.","Wellington can be a tad too windy some days."
"33","Oct 19, 2014","Amazing","5.0","Current Employee - Graduate Developer in Wellington, Wellington","Fantastic Employer, Awesome Team. Working with a great bunch of people, who are all very supportive while I am in the early stages of my career. Great office space with a great culture.","Pay in Wellington. Actually the pay is fine, Wellington is just incredibly expensive. 50,000 a year means living with the parents, or having less expendable income than I did as a student. And Xero pays monthly, which is horrible."
"34","Oct 19, 2014","Best company I've ever worked for!","5.0","Current Employee - Anonymous Employee in Wellington, Wellington","The culture is amazing, the people are amazing, the attitude towards continual innovation is exciting, there's always something interesting going on. Everyone tries to help everyone else and there's almost no internal politics, certainly when compared to every other company I've worked for over the last 20 years.","Maintaining the culture while growing so fast is difficult."
"35","Oct 19, 2014","Xero is Disneyland","5.0","Current Employee - IT Team in Wellington, Wellington","The people and the vision held by our leaders. We work hard but play hard too and the leaders are super committed to developing their people.","It's rare a company grows at this rate but there are some growing pains. Let's be honest, not everyone is amazing but the difference is they do something about it here."
"36","Oct 19, 2014","Cool place to work - no management bureaucracy, ideas get implemented, casual relaxed atmosphere, very people focused","5.0","Current Employee - Anonymous Employee in Auckland, Auckland","Great people, friendly atmosphere, casual relaxed environment, cool offices, Friday night inter-office get-togethers, frequent trips to head office, implement ideas quickly, there are no stupid questions.","Can't really think of any so far.  Car parks are a bit of an issue but hey-ho you can't win everything."
"37","Oct 19, 2014","Great tech company with start-up culture but maturity","5.0","Current Employee - Software Engineer in San Francisco, CA","Well run development process. Constantly identifying needs and actively filling the holes. Don't ask people to wear too many hats, which can result in poorly filled roles.

Great coworkers, easy to make friends.

Great culture and good work life balance, flexible schedule.

Beautiful office. Awesome espresso machine.

Good compensation.

Expanding team, so lots of opportunity for advancement.","No name recognition in the US (hopefully this is changing). Not sexy to tell friends ""I build accounting software"". 

Benefits are good, but could always be better. ie Higher 401k contributions, public-transit passes, provide basic lunch supplies.

No cash bonuses, only stock that fully-vests after 3 years."
"38","Oct 19, 2014","Awesome","5.0","Current Employee - Anonymous Employee in Auckland, Auckland","Supportive people, great company communication, loads of opportunity, fast pace, and good benefits.  The offices are beautiful and the company invests in the well-being of staff.  There's a very flat structure so everyone is accessible.","The company os growing very fast so it's hard to always know the right person to speak to"
"39","Oct 19, 2014","Amazing team, high pressure","4.0","Current Employee - Anonymous Employee in Wellington, Wellington","Most uniformly high-quality team I've ever worked with. Can't think of any dead weight. Great chairs, uniform hardware, free soft drinks, fantastic friday night drinks. Brilliant culture. Inspiring leaders and a uniform vision. Flexible working hours and minimum bureaucracy.","High pressure, very hard to leave work at work. Public and Global means there's always someone awake and emailing (although you aren't expected to reply outside hours, many do). So much going on it can be hard not to feel swamped. Processes always changing as we scale, 'no rules' is good but can be bewildering. Red tape creeping in as people start to cover their butts."
"40","Oct 19, 2014","Great company to work for, but experiencing growing pains","4.0","Current Employee - Anonymous Employee in Wellington, Wellington","Not like any place I've worked before - for the better! Everyone is approachable, from the CEO down. If you have ideas everyone is keen to hear them. Relaxed dress code. Great offices. Great technology. Great product. CEO is inspiring.","Some areas suffer from lack of direction. There's been a lot of hiring middle management-types and a lot of these hires leave a lot to be desired - lots of talk, very little walk. Little opportunity for professional development unless you're in the Product teams. Company values are a little contrived and the way they're constantly drilled in is quite patronizing. Challenges the business is facing need to be more transparent..."
"41","Oct 19, 2014","As good as it gets!","5.0","Current Employee - Software Developer in Wellington, Wellington","Company culture - a sense of everyone pulling together and the stated goal to try keep the cohesiveness of a small company despite rapid growth.  The CEO  is a top class leader in his ability both to inspire and to deliver.  The company makes strong and very visible efforts to provide a positive working environment and to be ""last job you'll ever have"", and focuses benefits where they matter such as a generous  professional...","Rapid migration from a small regional company to a large multinational and significant market challenges means constant change, no complacency and no absolute certainty about what happens next. Its not clear whether culture can stay as it is or whether large corporate syndrome will start to take effect. Its not a place to hide but to engage your own entrepreneurial aptitudes!"
"42","Oct 19, 2014","Happiest I have been in years","5.0","Current Employee - Development Team Lead in Auckland, Auckland","Open culture, great people, excellent beautiful product and ongoing professional development.
We have beautiful comfortable offices all around the world and we look after each other. We use Agile approaches to our product development and this ensures we get the best result for everyone.","We are growing quickly and it a challenge finding the right mix of people and skills to ensure we retain the fabulous cultural values and casual atmosphere we have."
"43","Oct 19, 2014","Finally a place worth to work in","5.0","Current Employee - Senior Business Analyst in Auckland, Auckland","Demanding, expected to contribute from day one. Your ideas are listened to and putting into practice right away. Great office culture and work-life balance, you're the owner of your time, ownership being in the backbone of the culture.","just to good to be true, hope it keeps this way."
"44","Oct 19, 2014","Great company to work for, if you're passionate about your job","5.0","Current Employee - Quality Assurance Analyst in Auckland, Auckland","* Proactive, friendly and passionate team members, excellent developers
* Forward-focused, growth-oriented company, looking at the long-term plan
* Very good compensation and stock sharing options.
* Great offices, free coffee
Very motivating being part of a company that's really changing the game in Accounting software worldwide.","* Rapid growth is a challenge no-matter how great the company is, though they are taking steps to keep the same awesome Xero culture everywhere."
"45","Oct 19, 2014","Lots to learn about people","3.0","Current Employee - Anonymous Employee ","Lots of nice, friendly people to work with.  
Nice offices.","Very little career development- they scrapped the bonus so now there is no incentive for Managers to measure performance or have any interest in developing their staff.   This includes no professional development and no study budget for general staff.  Only Managers seem to get trained.
Perks/Salary - for a company with this many employees there are no perks, no decent health care benefits, no childcare, no car parking,..."
"46","Oct 19, 2014","Optimistic about giving it that 5th star soon.","4.0","Current Employee - Anonymous Employee in San Francisco, CA","-Truly amazing product that WILL change the game once execution complete. Thankful and excited to be a part of it.
-Tons of smart people that are fun to work with.
-I have had two direct bosses during my time here, and both have been awesome. 
-Compensation feels good, though I came from outside the tech industry, so hard to say if folks complaining are justified or greedy.
-Every day I go to work happy, and I have...","-Leadership changes during 2014 (San Francisco). both comings and goingings, have been a distraction, and in some cases resulted in lay-offs that looked bad (even if they might have been justified). 
-Some (but only a minority) do not know who will listen to them when they feel their manager doesn't hear them. 
-I'm not a fan, in general, of companies using contract workers as ""try before you buy"" employees. Unless..."
"47","Oct 19, 2014","Awesome place to work","5.0","Current Employee - Human Resources in Melbourne","Great culture where everyone is friendly and approachable. Good Times Crew organise social events and shared lunch. Really feel part of the whole team and we all get shares in the company.","Out of the 4 jobs I have had in my career, this is the best, so I can not fault it. 
Would be cool to get a larger outdoor courtyard area or something - although think this might be happening in a month or so."
"48","Oct 19, 2014","Loving it!","5.0","Current Employee - Architect in Wellington, Wellington","Great culture, very friendly company, growing rapidly and therefore there are lots of opportunities to contribute to the company and develop as an individual","Not a lot. The company is growing very rapidly so will have to work to retain the culture, 'can do' attitude and lack of bureaucracy which have been its hallmarks since startup."
"49","Oct 20, 2014","Great and growing company","5.0","Current Employee - Developer Relations Manager in San Francisco, CA","Great overall company culture.  Ownership in projects and getting things done.  Putting user experience front and center in decisions.  Very loyal and enthusiastic customer base.","Some missing senior leadership positions, but that will get sorted out over time."
"50","Oct 20, 2014","Outstanding employer - but be warned!","5.0","Current Employee - Senior Account Manager in London, England","Total employee engagement and real, genuine enthusiasm about the company and the product - great rewards and world class employee facilities and care. An environment of success, growth and hard work that is unmatched - real attitude of ""be all you can be"".","Hyper Growth demands you're on the ball - it is not an easy place to get a job and not an easy place to work. Target driven environment that some thrive in and some simply don't. 

That said - Xero do not pretend otherwise!"
"51","Oct 20, 2014","Great culture and a load of opportunities","5.0","Current Employee - Development Practice Lead in Wellington, Wellington","I get a lot of autonomy and can work on the things that I think are important. The company trusts me to choose the right things to do. I'm building a team to tackle some pretty challenging technical work and I'm blown away by how many other Xeros want to be involved in this.","Fast growth means that (for example) processes aren't in place where they need to be and we're still finding our feet in some areas. There are technical challenges associated with rapid growth too. It's hard to hire enough good people to keep pace with our growth targets."
"52","Oct 20, 2014","Great place to work.  Amazing people and excellent work life balance.","4.0","Current Employee - Anonymous Employee in San Francisco, CA","Great culture.  Bi-weekly Lunches, snacks, latte machine, fruit delivery and the very fun Friday Happy Hour.  People are genuinely kind and truly care about the brand.","At current time there is a lack of leadership. Xero is in the process of hiring several key individuals but this takes time to bring the right leaders onboard."
"53","Oct 21, 2014","Whirlwind","4.0","Current Employee - Education Specialist in Sydney","Fast paced and exciting company to work with, great product, fantastic to be involved with projects.","Moves too fast and some decisions made don't always make sense.  Need to take a step back and listen to teams before rolling out big ideas."
"54","Oct 22, 2014","The feel of energy in the office is a real buzz. Amazing company doing some amazing things.","5.0","Current Employee - Territory Account Manager in Milton Keynes, England","Culture, workspace is amazing. The product is fantastic and our clients love using it, it sells itself. Its quite a dynamic environment that is forever changing which is really cool, no time to sit back!","Fast growth with lots of new people so takes a while to get them up to speed. Middle management seem stretched and under pressure to reach the stretch targets."
"55","Oct 23, 2014","senior account manager","3.0","Former Employee - Senior Account Manager in San Francisco, CA","nice offices, some nice people, good location near the water in SF; free food alot and they use MAC's so that was cool","changing management structure alot, nice managers get run over by new management that doesn't listen, customers have great input but unless they are 'gold' level they really don't get heard."
"56","Oct 31, 2014","Great Culture, Smart People, & Fantastic Product","5.0","Current Employee - Human Resources/People in San Francisco, CA","Great company with a strong product and great culture. The kiwi leadership team are down to earth, hardworking, and fun. Xero is growing like weeds and there's opportunity everywhere. Pay is great, benefits are good, and the facilities are top notch.","Not much of a ""con"" but we use the google suite of products which can prove challenging when communicating with overseas colleagues."
"57","Nov 2, 2014","Xero will be my last job - fantastic company with a fantastic product","5.0","Current Employee - Anonymous Employee ","Great culture - operates like a family with a very friendly and very open atmosphere and great diversity across the board. Xero is also extremely transparent from top to bottom. The company is growing but you never feel like you're working for a big corporate. The company has a huge opportunity and you can feel it when you're working there.","Very little actually. There are growing pains with such rapid growth, however that is getting better because the company understands that controlling growth is important."
"58","Nov 2, 2014","Right place, right time","5.0","Current Employee - Front End Developer in San Francisco, CA","Authentic people from all over the world working towards a common goal with positive outlook. People are dedicated to producing a quality product and to have fun in the process. Leadership is down to earth. Flat org composition - it's easy to communicate with anybody including chief officers (this is impressive considering the company just reached 1000 employees).","Xero comes pretty close to not having any cons. I have no personal issues. We're facing growing pains as a company. Sometimes timezones can be difficult (NZ, AU, US, UK), but it's never a blocker."
"59","Nov 2, 2014","Nothing but good things to say","5.0","Current Employee - Senior Software Engineer in San Francisco, CA","Great technical leadership and great culture.  Management and process help move development forward, not hinder it. We've done a great job hiring great people and I love coming to work each day - so much so that not once have chosen a day to work from home yet.  I feel like this company has a great plan to take on our space, and the right leadership and talent to make it happen.","I honestly haven't had any negative experiences so far."
"60","Nov 2, 2014","Successful first week","5.0","Current Employee - Partner Enablement Manager in San Francisco, CA","Nice and welcoming people, liked the culture and awesome product.","Not aware of any Cons now. . Commute from home is only drawback for me."
"61","Nov 2, 2014","Love My Job....Love The People...Love the Company","5.0","Current Employee - Anonymous Employee in Denver, CO","Growing Global Company that knows how to treat their employees. Love working with other employees ( Australia, New Zealand and the UK) and customers all across the world. Office environment is pretty relaxed, jeans and t-shirts and pretty stress free. Compensation is average to good. Love that when you need a day off (personal or sick) it's usually (99.9%) approved.","Not real keen on the medical benefits currently, but they've promised to add more choices next year."
"62","Nov 3, 2014","Great company, people, opportunity and experience","5.0","Current Employee - Anonymous Employee in San Francisco, CA","I love the diverse mix of people, it makes for an interesting and fun environment.  We have a great work space that is open and really collaborative.  People are very genuine and supportive of one another.  There is a real opportunity to get involved and do interesting and fulfilling work - that's very important to me.   I feel aligned with our values and I appreciate that we are asked for feedback and things change as...","We are growing fast and that comes with some challenges - our needs for what people we need in roles can change quite quickly or we move forward fast without always thinking through all aspects of an action and then have to take corrective action."
"63","Nov 27, 2014","Customer Care Specialist","5.0","Current Employee - Anonymous Employee ","Great place to work really love it!","Could be paid better"
"64","Dec 17, 2014","Great environment and colleagues","5.0","Current Employee - Anonymous Employee in Wellington, Wellington","Great environment and colleagues and positive culture to ideas","Large workload, confusion on some areas"
"65","Dec 29, 2014","Dream job in the making!","5.0","Current Employee - Anonymous Employee in Denver, CO","Product, CEO, culture, environment. You have to understand that working at a 'start up' is nothing but opportunity. Everyone has a chance to rise as a leader through their actions and ideas. We're backed by international stability and a very accessible CEO. This company cares about its people and its customers. I plan to make this my last job by staying on the edge of innovation and coming up with better ways. Leadership...","Need some stronger leadership in some areas. Unfortunate that there are a few bad seeds with bad attitudes and intentions. This is in CX, ops and sales. Some people taking advantage of freedoms and perks. Growing pains hopefully temporary. Looks like 2015 benefits are better. It would be nice to know what other departments are working on."
"66","Dec 31, 2014","Stimulating and optimistic environment, working with the latest technologies and talented people.","5.0","Current Employee - Software Developer in Wellington, Wellington","Great environment within a successful company, being involved in the latest technologies and agile team,s with plenty of scope to have a say and make a difference. Management also listen to what employees say and strive to keep people happy.","It is a fast-paced and fast-growing, technology-focused and agile environment which requires people to generally be self-sufficient and speak up within a team - maybe not as structured as large organisations for instance, which may not suit everyone."
"67","Jan 20, 2015","Have you ever kissed a unicorn?","5.0","Current Employee - Anonymous Employee ","Culture, pay, flexibility, growth, environment, unicorn kisses. This place is unique and lovely. Filled with smart people working on a cool product suite. Working with happy customers makes a huge difference to the way I feel about work! Supportive, collaborative and no b.s. This is what every workplace should be like. I heart Xero.","Benefits could be better but I think that has more to do with our government than this company."
"68","Jan 25, 2015","A company going through rapid but painful change.","3.0","Former Employee - Anonymous Employee ","Excellent working environment;
Growing business;
Good work life balance;
Remnants of a superior ""Can Do"" culture still exist.","Xero once had a passionate, ""roll your sleeves up and do it"" culture.
They were able to do fantastic work with a small and highly dedicated staff.
It used to be a privilege just to be hired by Xero.
However, due to a policy of ""cherry picking"" executives from other organisations and generally hiring at a forced rate, Xero has imported a very political corporate environment.
Now, big teams with budget can't do what..."
"69","Feb 11, 2015","Great environment to work in","5.0","Current Employee - Senior Developer in Wellington, Wellington","Xero has a great culture, where employees are looked after.
Perks such as free vending machines, fruit, cafe-quality coffee machines.
Modern office environment, ranging from meeting rooms to bean bag lounging areas.","Company is growing extraordinarily fast, in 4 different countries, and is struggling to maintain a common culture."
"70","Feb 13, 2015","Fun company to work for, but no opportunities for growth, management problems","2.0","Former Employee - N/A ","Xero was a enjoyable, young company to work for and I did enjoy my time there. It's full of incredibly smart people who all work as hard as possible together to get stuff done as best they can. Rod is an energetic, down to earth CEO who actually interacts with you as an employee and remembers your name.","Despite the way that Xero pushes itself in public, it is not a ""fun"" place to work in the traditional startup sense - it's enjoyable indeed, but more corporate these days, which isn't necessarily a bad thing. There are no real organized activities that improve the culture aside from the yearly parties, at least in the office I was in - much of the culture is hyberbole over what it's really like, simply for marketing purposes...."
"71","Feb 24, 2015","Awesome company where the sky's the limit","5.0","Current Employee - Anonymous Employee ","Supportive teams, collaborative, innovative. Friendly people and modern offices!","Some may not enjoy the pace at which we work and grow! If you enjoy a fast paced work environment and like working hard then you'll love Xero"
"72","Mar 12, 2015","Positive reviews are from staff who have worked less than 12 months","1.0","Current Employee - Developer in Melbourne","You can't get fired. In eternal engagement surveys year after year the number one complaint by staff ""Poor performance is dealt with effectively in this organization"" keeps topping the charts. You would have thought they would have done something about that but relax. If you're mediocre there's plenty of places to hide in Xero.

Great place for people starting their careers. Xero has a very low hurdle rate to get into...","The following areas were highlighted in the last Employee Engagement Survey as poor performing areas for the business
1. Lack of career opportunities. (See my Pros section. If you're in one of these two categories you'll love the place)
2. Lack of coaching to help improve performance. (Never had any one on one coaching during my time. Had plenty of meetings)
3. Doesn't utilize my skill set
4. Learning and development..."
"73","Mar 24, 2015","Great company culture and values on the surface but arrogant approach to customers.","3.0","Former Employee - Anonymous Employee ","Exciting product which means that you are working on something revolutionizing the accounting software market.
Some really helpful and supportive people.","Company values aren't actually lived by. 
Struggle to see how the company will ever make a profit.
To solve a problem just hire lots of people, not the right ones. 
Need a better management team with clear and realistic goals willing to listen to staff and need to work together.
Very young employees so no other experience and don't question anything. No career growth."
"74","Apr 17, 2015","Too many cooks, not enough broth","3.0","Former Employee - Anonymous Employee ","Inspiring CEO
High profile company, with strong investment
Lots of very smart people
Good at anticipating opportunities in the market, and succeeding in them","Top-heavy staffing distribution, with strange management hierarchies.
High chance of burn-out.
A very ""corporate"" view of infrastructure and tooling, resistant to non-MS technologies.
Difficult to find certain necessary skill-groups in NZ (e.g. full-stack DevOps, Site-Reliability Engineers rather than SysAdmins) and still extremely resistant to virtual teams and remote working."
"75","May 12, 2015","seems promising, but don't believe the hype.","2.0","Former Employee - Anonymous Employee ","It's a job, they pay you every 2 weeks.","Middle management plays favorites based on previous friendships. 
Watch out for the various cliques and don't cross them, you'll regret it."
"76","May 19, 2015","Senior Account Manager","4.0","Former Employee - Anonymous Employee ","Great learning experience; best co-workers I've ever had.","Struggles to share resources and priorities across geographies."
"77","Jun 16, 2015","Sales- Denver Office","2.0","Current Employee - Anonymous Employee in Denver, CO","-peers are friendly, intelligent and creative individuals
-small perks are nice- free breakfast, lunch once a week, beers in the office, casual dress
-sales team has a great comeraderie among the low-levels","-US sales management is turning the company into Intuit- motivates based on fear and threats, never answers emails or meeting requests, 
-headed toward a more big-time corporate machine-like sales vision
-recently CUT commissions and annual base salary pay raises did NOT even meet cost of living increase for Denver area-but management is in SanFrancisco so they think it's fine"
"78","Jun 25, 2015","Good place to work","4.0","Current Employee - SQL Server Database Administrator in Denver, CO","Free snacks and food
Flexible schedules and works from home
Good amount of Vacation time","Doesn't give the US side enough say in day to day decisions
Resentment from the NZ side if you get your work done too quickly
To many homegrown tools for maintaining the business."
"79","Jun 27, 2015","Becoming a corporate machine","2.0","Current Employee - Developer in Wellington, Wellington","Free drinks, etc.
Work colleagues are great.
Video games, and other stuff you'd expect from a modern tech company that is trying to pretend it's still a start up.","Has scaled very poorly in the past few years, and beginning to feel like a poorly managed corporate monster with ever-changing c-team.
Non-competitive pay (in NZ).
Lack of autonomy and constant meddling by senior execs towards development teams really defeats the purpose of #ownership.
CEO constantly makes embarrassing and lout-ish comments. Comes across as very intolerant.
Very poor communication between US and NZ..."
"80","Jul 12, 2015","Management put themselves ahead of employees","1.0","Current Employee - Anonymous Employee ","Nice teammates
Product sells itself
Nice new building","Manufactured atmosphere
Role fatigue
Self absorbed management"
